LOCATION,TIME,GHG_VALUE_T,CO_VALUE_KG,CO2_VALUE_KG,NOX_VALUE_KG,SOX_VALUE_KG,VOC_VALUE_KG
AUS,2010,24.251,135.176,17.4,105.423,107.429,55.617
AUS,2011,23.883,130.439,17.1,101.268,111.273,54.678
AUS,2012,23.604,126.738,16.8,106.24,109.985,54.205
AUS,2013,22.81,122.049,16.2,107.652,103.81,54.177
AUS,2014,22.247,117.344,15.6,106.956,105.924,54.833
AUS,2015,22.362,113.711,15.7,106.166,99.692,54.641
AUS,2016,22.535,109.152,15.8,107.003,101.593,53.924
AUS,2017,22.54,114.504,15.6,108.417,93.086,54.256
FRA,2010,8.224,30.381,5.6,19.739,5.199,13.427
FRA,2011,7.766,29.441,5.7,19.297,5.96,12.874
FRA,2012,7.722,28.062,5.6,18.568,5.938,12.377
FRA,2013,7.687,27.723,5,16.168,4.718,12.006
FRA,2014,7.189,28.096,5,16.579,5.201,12.152
FRA,2015,7.236,27.836,5.3,16.679,5.567,12.602
FRA,2016,7.231,27.728,5.1,15.934,4.666,12.926
FRA,2017,7.264,28.085,5.4,15.883,4.728,13.239
IRL,2010,13.417,66.892,5.2,17.103,4.428,12.979
IRL,2011,12.413,55.843,4.9,16.096,4.018,11.636
IRL,2012,12.502,50.179,5,15.563,3.723,10.999
IRL,2013,12.439,50.923,4.9,15.31,3.342,10.72
IRL,2014,12.341,42.474,4.4,14.121,2.699,10.289
IRL,2015,12.727,41.63,4.5,13.675,2.533,9.801
IRL,2016,13.048,42.263,4.5,12.992,2.232,9.572
IRL,2017,12.779,41.484,4.6,12.411,2.223,9.43
ITA,2010,8.525,32.079,7.6,19.652,7.084,13.879
ITA,2011,8.265,28.9,6.9,18.073,6.479,13.462
ITA,2012,7.895,28.416,7.2,18.312,7.116,13.113
ITA,2013,7.358,28.199,7,17.264,6.1,12.593
ITA,2014,7.055,26.629,6.3,16.054,4.917,12.443
ITA,2015,7.165,25.846,6.1,15.389,3.788,12.381
ITA,2016,7.123,23.643,5.7,13.922,2.64,12.096
ITA,2017,7.049,23.23,5.4,13.308,2.58,12.141
JPN,2010,10.135,31.123,8.7,25.556,5.762,24.084
JPN,2011,10.535,28.418,7.7,22.709,5.379,23.287
JPN,2012,10.875,26.809,7.8,23.209,5.041,23.498
JPN,2013,10.974,25.283,7.5,23.451,5.058,23.972
JPN,2014,10.612,23.782,7.3,23.395,3.673,23.038
JPN,2015,10.325,23.026,7.5,23.759,3.254,22.952
JPN,2016,10.22,21.473,7.8,23.649,2.912,23.081
JPN,2017,10.115,18.366,7.4,22.933,2.764,23.814
POL,2010,10.74,52.61,6.6,16.396,3.682,18.946
POL,2011,10.736,41.587,6.4,15.689,3.293,17.328
POL,2012,10.559,45.165,6.1,14.63,2.972,17.104
POL,2013,10.482,42.138,5.6,13.663,2.436,16.561
POL,2014,10.162,38.051,5.3,13.311,2.178,15.419
POL,2015,10.266,38.677,5.4,12.848,2.055,15.097
POL,2016,10.506,37.396,5.4,12.434,1.928,14.824
POL,2017,10.902,38.41,5.3,11.737,1.901,15.408
ESP,2010,7.621,25.637,8.8,12.153,6.007,8.162
ESP,2011,7.589,21.22,9.3,11.665,5.665,7.735
ESP,2012,7.451,21.86,9.6,11.313,5.639,7.456
ESP,2013,6.892,21.236,9.7,10.865,5.576,7.426
ESP,2014,6.972,20.489,9.4,10.448,5.512,7.176
ESP,2015,7.233,19.619,9.1,10.175,5.483,7.073
ESP,2016,6.999,21.784,9,11.128,5.487,7.078
ESP,2017,7.294,20.831,8.9,10.811,5.456,7.049
GBR,2010,9.681,80.396,8,23.15,22.816,18.581
GBR,2011,8.859,72.79,7.9,22.753,21.847,18.14
GBR,2012,9.045,73.059,7.7,21.856,21.007,17.684
GBR,2013,8.77,69.758,7.6,20.841,20.129,16.581
GBR,2014,8.094,62.796,7.3,19.584,18.999,16.577
GBR,2015,7.774,61.706,7.4,19.049,18.705,16.849
GBR,2016,7.346,64.775,7.6,19.515,15.547,17.747
GBR,2017,7.109,67.122,8,21.146,15.35,18.2
USA,2010,22.269,106.908,10.7,25.991,31.398,20.139
USA,2011,21.613,110.005,11.2,25.341,30.987,20.674
USA,2012,20.689,111.685,11.2,23.918,30.701,17.758
USA,2013,21.057,109.094,10.9,23.662,29.765,19.59
USA,2014,21.067,107.025,10.8,23.306,28.493,18.905
USA,2015,20.506,106.907,10.6,23.273,28.883,18.696
USA,2016,19.971,108.995,10.5,23.775,28.242,18.938
USA,2017,19.74,110.995,10.6,23.779,27.995,19.03
RUS,2010,14.319,179.268,17.3,42.946,22.309,43.64
RUS,2011,14.726,176.389,16.4,41.408,18.439,44.091
RUS,2012,14.871,169.435,15.6,39.27,14.289,42.983
RUS,2013,14.452,162.627,15.9,37.173,13.602,41.901
RUS,2014,14.412,155.948,15.8,35.274,13.015,40.844
RUS,2015,14.412,151.896,15.3,32.944,10.15,40.062
RUS,2016,14.413,143.629,14.9,31.231,8.063,39.049
RUS,2017,14.79,137.628,14.6,29.556,7.61,38.179
